"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"Adobe Desktop Service","1","1291","512647168","148774912","119799808","803800","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe"" --onOSstartup=true --showwindow=false --waitForRegistration=true","System.Diagnostics.Process (Creative Cloud)","Adobe Inc.","881.015625","5.10.0.573","5.10.0.573","Creative Cloud","Adobe Creative Cloud","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","744","8",,"False","4/19/2023 2:22:17 PM",,"14716",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","803800","803800","119799808","119799808","547360","547360","244252672","244252672","260947968","260947968","709246976","709246976","True","Normal","119799808","119799808","255","1",,"System.Diagnostics.ProcessThreadCollection","1291","512647168","512647168","False",,,,"148774912","148774912",,"System.Diagnostics.ProcessModule (Adobe Desktop Service.exe)","00:06:53.2500000","00:14:41.0156250","00:07:47.7656250","Adobe Desktop Service","132770","","True",,
"AdobeIPCBroker","1","223","97185792","7204864","7000064","19544","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe"" ""-launchedbyvulcan-14232 C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud.exe""","System.Diagnostics.Process (Creative Cloud)","Adobe Inc.","517.140625","7.2.0.34","7.2.0.34","Creative Cloud Interprocess Service","Adobe IPC Broker","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4588","8",,"False","4/19/2023 2:22:16 PM",,"14036",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19544","19544","7000064","7000064","136440","136440","12505088","12505088","14376960","14376960","118050816","118050816","True","Normal","7000064","7000064","255","1",,"System.Diagnostics.ProcessThreadCollection","223","97185792","97185792","False",,,,"7204864","7204864",,"System.Diagnostics.ProcessModule (AdobeIPCBroker.exe)","00:01:39.2031250","00:08:37.1406250","00:06:57.9375000","AdobeIPCBroker","0","","True",,
"AdobeNotificationClient","1","468","348340224","9789440","23769088","30096","C:\Program Files\WindowsApps\AdobeNotificationClient_3.0.1.1_x86__enpm4xejd91yc\AdobeNotificationClient.exe","""C:\Program Files\WindowsApps\AdobeNotificationClient_3.0.1.1_x86__enpm4xejd91yc\AdobeNotificationClient.exe"" -ServerName:CreativeCloud.AppXkc26ec7ewq1x9dww5fbpte7xrjdypftp.mca",,"Adobe Inc.","0.375","5.2.0.1","5.2.0.1","Adobe Notification Client","Adobe Notification Client","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4848","8",,"False","4/19/2023 2:22:33 PM",,"18440",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","30096","30096","23769088","23769088","419064","419064","23969792","23969792","37064704","37064704","349659136","349659136","True","Normal","23769088","23769088","255","1",,"System.Diagnostics.ProcessThreadCollection","468","348340224","348340224","False",,,,"9789440","9789440",,"System.Diagnostics.ProcessModule (AdobeNotificationClient.exe)","00:00:00.1875000","00:00:00.3750000","00:00:00.1875000","AdobeNotificationClient","0","","True",,
"AdobeUpdateService","0","356","94322688","8773632","4046848","15304",,,,,,,,,,"Process",,,"8",,,,,"4116",".",,,,"15304","15304","4046848","4046848","131872","131872","4743168","4743168","10514432","10514432","105316352","105316352",,,"4046848","4046848",,"0",,"System.Diagnostics.ProcessThreadCollection","356","94322688","94322688","False",,,,"8773632","8773632",,,,,,"AdobeUpdateService","0","","True",,
"AGMService","0","240","101478400","7184384","4681728","14336",,,,,,,,,,"Process",,,"8",,,,,"4188",".",,,,"14336","14336","4681728","4681728","139608","139608","5529600","5529600","12369920","12369920","141606912","141606912",,,"4681728","4681728",,"0",,"System.Diagnostics.ProcessThreadCollection","240","101478400","101478400","False",,,,"7184384","7184384",,,,,,"AGMService","0","","True",,
"AGSService","0","314","96092160","9363456","5427200","13568",,,,,,,,,,"Process",,,"8",,,,,"4172",".",,,,"13568","13568","5427200","5427200","130176","130176","6606848","6606848","13557760","13557760","121589760","121589760",,,"5427200","5427200",,"0",,"System.Diagnostics.ProcessThreadCollection","314","96092160","96092160","False",,,,"9363456","9363456",,,,,,"AGSService","0","","True",,
"ai","1","138","2203482890240","38481920","30171136","11888","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe","""C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe"" ""AC12820F-8CD6-47E5-925B-D333D163C027"" ""51FA2D28-33F5-41AB-B87D-8FEE9151C119"" ""16036"" ""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""","System.Diagnostics.Process (OUTLOOK)","Microsoft Corporation","0.046875","0.12.3.0","0.12.3.0","Artificial Intelligence (AI) Host for the Microsoft® Windows® Operating System and Platform x64.","Artificial Intelligence","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4532","8",,"False","4/25/2023 10:47:51 AM",,"6240",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","11888","11888","30171136","30171136","166640","166640","38195200","38195200","40615936","40615936","2203488632832","170409984","True","Normal","30171136","30171136","255","1",,"System.Diagnostics.ProcessThreadCollection","138","2203482890240","164667392","False",,,,"38481920","38481920",,"System.Diagnostics.ProcessModule (ai.exe)","00:00:00","00:00:00.0468750","00:00:00.0468750","ai","0","","True",,
"ai","1","138","2203457687552","22224896","11194368","11344","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe","""C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe"" ""D76500F5-3C2A-417F-8374-EB13B9098322"" ""51FA2D28-33F5-41AB-B87D-8FEE9151C119"" ""16036"" ""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""","System.Diagnostics.Process (OUTLOOK)","Microsoft Corporation","0.03125","0.12.3.0","0.12.3.0","Artificial Intelligence (AI) Host for the Microsoft® Windows® Operating System and Platform x64.","Artificial Intelligence","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3756","8",,"False","4/25/2023 9:32:45 AM",,"16128",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","11344","11344","11194368","11194368","166624","166624","11255808","11255808","22257664","22257664","2203459788800","141565952","True","Normal","11194368","11194368","255","1",,"System.Diagnostics.ProcessThreadCollection","138","2203457687552","139464704","False",,,,"22224896","22224896",,"System.Diagnostics.ProcessModule (ai.exe)","00:00:00.0156250","00:00:00.0312500","00:00:00.0156250","ai","0","","True",,
"ai","1","138","2203457654784","22245376","11280384","11344","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe","""C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe"" ""D24A1DD9-E345-478D-B558-415A00D55718"" ""9BFBDB6F-B51E-4912-B740-F11896F4E285"" ""3688"" ""C:\Program Files\Microsoft Office\Root\Office16\WINWORD.EXE""","System.Diagnostics.Process (WINWORD)","Microsoft Corporation","0.921875","0.12.3.0","0.12.3.0","Artificial Intelligence (AI) Host for the Microsoft® Windows® Operating System and Platform x64.","Artificial Intelligence","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4572","8",,"False","4/21/2023 4:38:25 PM",,"26484",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","11344","11344","11280384","11280384","166640","166640","11403264","11403264","22294528","22294528","2203461849088","143626240","True","Normal","11280384","11280384","255","1",,"System.Diagnostics.ProcessThreadCollection","138","2203457654784","139431936","False",,,,"22245376","22245376",,"System.Diagnostics.ProcessModule (ai.exe)","00:00:00.1875000","00:00:00.9218750","00:00:00.7343750","ai","0","","True",,
"ApplicationFrameHost","1","397","2203569319936","26660864","13447168","23248","C:\Windows\system32\ApplicationFrameHost.exe","C:\Windows\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","0.765625","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4040","8",,"False","4/19/2023 2:24:34 PM",,"5980",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23248","23248","13447168","13447168","364896","364896","21848064","21848064","31612928","31612928","2203583803392","265580544","True","Normal","13447168","13447168","255","1",,"System.Diagnostics.ProcessThreadCollection","397","2203569319936","251097088","False",,,,"26660864","26660864",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:00.3906250","00:00:00.7656250","00:00:00.3750000","ApplicationFrameHost","2036632","","True",,
"audiodg","0","172","2203400286208","12120064","6377472","10464",,,,,"0.171875",,,,,"Process",,,"8",,,"4/25/2023 2:15:48 PM",,"15720",".",,,,"10464","10464","6377472","6377472","91296","91296","7811072","7811072","13434880","13434880","2203403771904","85549056",,,"6377472","6377472",,"0",,"System.Diagnostics.ProcessThreadCollection","172","2203400286208","82063360","False",,,,"12120064","12120064",,,"00:00:00.1093750","00:00:00.1718750","00:00:00.0625000","audiodg","0","","True",,
"CCLibrary","1","42","4343373824","720896","606208","3800","C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\CCLibrary.exe","""C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\CCLibrary.exe""","System.Diagnostics.Process (Creative Cloud)","Adobe Systems Incorporated","0","3.22.1.3","3.22.1.3","Creative Cloud Libraries Synchronizer","CCLibraries","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4216","8",,"False","4/19/2023 2:22:18 PM",,"15588",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","3800","3800","606208","606208","24344","24344","659456","659456","3141632","3141632","4345470976","50503680","True","Normal","606208","606208","255","1",,"System.Diagnostics.ProcessThreadCollection","42","4343373824","48406528","False",,,,"720896","720896",,"System.Diagnostics.ProcessModule (CCLibrary.exe)","00:00:00","00:00:00","00:00:00","CCLibrary","0","","True",,
"CCXProcess","1","42","4343189504","700416","602112","3800","C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe","""C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe""",,"Adobe Inc.","0","4.14.2.2","4.14.2.2","Creative Cloud Content Manager","CCXProcess","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3724","8",,"False","4/19/2023 2:22:17 PM",,"15116",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","3800","3800","602112","602112","23984","23984","655360","655360","3039232","3039232","4345286656","50319360","True","Normal","602112","602112","255","1",,"System.Diagnostics.ProcessThreadCollection","42","4343189504","48222208","False",,,,"700416","700416",,"System.Diagnostics.ProcessModule (CCXProcess.exe)","00:00:00","00:00:00","00:00:00","CCXProcess","0","","True",,
"Cloudflare WARP","1","1042","2204507820032","255496192","87457792","93912","C:\Program Files\Cloudflare\Cloudflare WARP\Cloudflare WARP.exe","""C:\Program Files\Cloudflare\Cloudflare WARP\Cloudflare WARP.exe""",,"Cloudflare","634.296875","2023.3.412.0","2023.3.412.0","Cloudflare WARP","Cloudflare WARP","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4164","8",,"False","4/24/2023 3:46:09 PM",,"2128",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","93912","93912","87457792","87457792","848496","848496","92577792","92577792","260648960","260648960","2204538286080","1220063232","True","Normal","87457792","87457792","255","1",,"System.Diagnostics.ProcessThreadCollection","1042","2204507820032","1189597184","False",,,,"255496192","255496192",,"System.Diagnostics.ProcessModule (Cloudflare WARP.exe)","00:07:07.7343750","00:10:34.2968750","00:03:26.5625000","Cloudflare WARP","0","","True",,
"Code","1","321","2225349709824","105988096","103424000","17176","C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --inspect-port=0 --user-data-dir=""C:\Users\hybri\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --mojo-platform-channel-handle=3216 --field-trial-handle=1700,i,4523648608362536680,3763737592359647142,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","15","1.77.3","1.77.3","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4300","8",,"False","4/19/2023 2:29:11 PM",,"3080",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17176","17176","103424000","103424000","498944","498944","151261184","151261184","156790784","156790784","2225462657024","669597696","True","Normal","103424000","103424000","255","1",,"System.Diagnostics.ProcessThreadCollection","321","2225349709824","556650496","False",,,,"105988096","105988096",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:02.6406250","00:00:15","00:00:12.3593750","Code","0","","True",,
"Code","1","286","2220852281344","16203776","13664256","19032","C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\hybri\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --mojo-platform-channel-handle=1980 --field-trial-handle=1700,i,4523648608362536680,3763737592359647142,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","12.28125","1.77.3","1.77.3","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3432","8",,"False","4/19/2023 2:29:11 PM",,"3316",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19032","19032","13664256","13664256","488224","488224","14405632","14405632","42131456","42131456","2220994887680","496795648","True","Normal","13664256","13664256","255","1",,"System.Diagnostics.ProcessThreadCollection","286","2220852281344","354189312","False",,,,"16203776","16203776",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:06.6718750","00:00:12.2812500","00:00:05.6093750","Code","0","","True",,
"Code","1","221","2220817424384","5742592","10653696","12824","C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=crashpad-handler --user-data-dir=C:\Users\hybri\AppData\Roaming\Code /prefetch:7 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\hybri\AppData\Roaming\Code\Crashpad --url=appcenter://code?aid=a4e3233c-699c-46ec-b4f4-9c2a77254662&uid=2f93c7c4-66db-4e1e-bf5e-b47c8b157310&iid=2f93c7c4-66db-4e1e-bf5e-b47c8b157310&sid=2f93c7c4-66db-4e1e-bf5e-b47c8b157310 --annotation=IsOfficialBuild=1 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.77.3 ""--annotation=exe=C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --annotation=plat=Win64 --annotation=prod=Electron --annotation=ver=19.1.11 --initial-client-data=0x408,0x40c,0x410,0x404,0x414,0x7ff7b8cac8d0,0x7ff7b8cac8e0,0x7ff7b8cac8f0","System.Diagnostics.Process (Code)","Microsoft Corporation","0.125","1.77.3","1.77.3","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4000","8",,"False","4/19/2023 2:29:11 PM",,"3388",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12824","12824","10653696","10653696","453776","453776","10862592","10862592","27648000","27648000","2220842590208","344498176","True","Normal","10653696","10653696","255","1",,"System.Diagnostics.ProcessThreadCollection","221","2220817424384","319332352","False",,,,"5742592","5742592",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.0937500","00:00:00.1250000","00:00:00.0312500","Code","0","","True",,
"Code","1","446","2229776453632","153169920","124821504","22816","C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=renderer --user-data-dir=""C:\Users\hybri\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-user-model-id=Microsoft.VisualStudioCode --app-path=""C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\resources\app"" --enable-sandbox --enable-blink-features=HighlightAPI,WebAppWindowControlsOverlay --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --launch-time-ticks=445039760 --mojo-platform-channel-handle=2712 --field-trial-handle=1700,i,4523648608362536680,3763737592359647142,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --vscode-window-config=vscode:bde4fdea-f87b-472d-9864-0956fc4d9893 /prefetch:1","System.Diagnostics.Process (Code)","Microsoft Corporation","263.078125","1.77.3","1.77.3","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2284","8",,"False","4/19/2023 2:29:11 PM",,"3524",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22816","22816","124821504","124821504","638624","638624","197697536","197697536","242241536","242241536","2238364180480","686219264","True","Normal","124821504","124821504","255","1",,"System.Diagnostics.ProcessThreadCollection","446","2229776453632","688427008","False",,,,"153169920","153169920",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:25.3125000","00:04:23.0781250","00:03:57.7656250","Code","0","","True",,
"Code","1","311","2225347383296","44187648","40849408","16776","C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\hybri\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --mojo-platform-channel-handle=3248 --field-trial-handle=1700,i,4523648608362536680,3763737592359647142,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","39.890625","1.77.3","1.77.3","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4816","8",,"False","4/19/2023 2:29:11 PM",,"3700",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16776","16776","40849408","40849408","495056","495056","76734464","76734464","129175552","129175552","2225471045632","677986304","True","Normal","40849408","40849408","255","1",,"System.Diagnostics.ProcessThreadCollection","311","2225347383296","554323968","False",,,,"44187648","44187648",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:09.9375000","00:00:39.8906250","00:00:29.9531250","Code","0","","True",,
"Code","1","1068","2225674326016","67817472","48214016","41856","C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe"" ",,"Microsoft Corporation","117.453125","1.77.3","1.77.3","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4836","8",,"False","4/19/2023 2:29:10 PM",,"7268",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","41856","41856","48214016","48214016","850192","850192","52518912","52518912","107225088","107225088","2225786810368","993751040","True","Normal","48214016","48214016","255","1",,"System.Diagnostics.ProcessThreadCollection","1068","2225674326016","881266688","False",,,,"67817472","67817472",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:53.2812500","00:01:57.4531250","00:01:04.1718750","Code","198442","CH5LAB.txt - pwshPC - Visual Studio Code","True",,
"Code","1","585","2221286477824","85565440","177475584","31872","C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=gpu-process --user-data-dir=""C:\Users\hybri\AppData\Roaming\Code"" --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAAOAAAAEAAAAAAAAAABAAAADgAAAAgAAAAAAAAACAAAAAAAAAA= --mojo-platform-channel-handle=1612 --field-trial-handle=1700,i,4523648608362536680,3763737592359647142,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand /prefetch:2","System.Diagnostics.Process (Code)","Microsoft Corporation","108.84375","1.77.3","1.77.3","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3964","10",,"False","4/19/2023 2:29:11 PM",,"10168",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","31872","31872","177475584","177475584","758088","758088","261308416","261308416","178012160","178012160","2221374099456","876007424","True","AboveNormal","177475584","177475584","255","1",,"System.Diagnostics.ProcessThreadCollection","585","2221286477824","788385792","False",,,,"85565440","85565440",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:28.2656250","00:01:48.8437500","00:01:20.5781250","Code","0","","True",,
"Code","1","231","2225335259136","33226752","39723008","15960","C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --ms-enable-electron-run-as-node ""c:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\resources\app\out\bootstrap-fork"" --type=ptyHost --logsPath c:\Users\hybri\AppData\Roaming\Code\logs\20230419T142911","System.Diagnostics.Process (Code)","Microsoft Corporation","22.984375","1.77.3","1.77.3","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4800","8",,"False","4/19/2023 2:29:12 PM",,"19032",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15960","15960","39723008","39723008","492992","492992","46116864","46116864","89174016","89174016","2225423396864","630337536","True","Normal","39723008","39723008","255","1",,"System.Diagnostics.ProcessThreadCollection","231","2225335259136","542199808","False",,,,"33226752","33226752",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:13.9218750","00:00:22.9843750","00:00:09.0625000","Code","0","","True",,
"Code","1","231","2225357365248","23052288","24969216","15704","C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\hybri\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\hybri\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --mojo-platform-channel-handle=3276 --field-trial-handle=1700,i,4523648608362536680,3763737592359647142,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","2.625","1.77.3","1.77.3","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2336","8",,"False","4/19/2023 2:29:11 PM",,"21224",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15704","15704","24969216","24969216","492200","492200","30248960","30248960","79818752","79818752","2225471045632","677986304","True","Normal","24969216","24969216","255","1",,"System.Diagnostics.ProcessThreadCollection","231","2225357365248","564305920","False",,,,"23052288","23052288",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:01.2656250","00:00:02.6250000","00:00:01.3593750","Code","0","","True",,
"CompPkgSrv","1","139","2203411587072","4878336","1777664","7200","C:\Windows\System32\CompPkgSrv.exe","C:\Windows\System32\CompPkgSrv.exe -Embedding",,"Microsoft Corporation","0.1875","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Component Package Support Server","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4560","8",,"False","4/19/2023 2:22:40 PM",,"18116",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","7200","7200","1777664","1777664","116792","116792","2088960","2088960","9371648","9371648","2203415273472","97050624","True","Normal","1777664","1777664","255","1",,"System.Diagnostics.ProcessThreadCollection","139","2203411587072","93364224","False",,,,"4878336","4878336",,"System.Diagnostics.ProcessModule (CompPkgSrv.exe)","00:00:00.0937500","00:00:00.1875000","00:00:00.0937500","CompPkgSrv","0","","True",,
"conhost","0","102","2203400589312","7405568","6381568","6784",,,,,,,,,,"Process",,,"8",,,,,"5336",".",,,,"6784","6784","6381568","6381568","80432","80432","6463488","6463488","10301440","10301440","2203402162176","83939328",,,"6381568","6381568",,"0",,"System.Diagnostics.ProcessThreadCollection","102","2203400589312","82366464","False",,,,"7405568","7405568",,,,,,"conhost","0","","True",,
